Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12
15.0,1.0367835228117326,0.680055075196051,1.0580044244940994,1.0580044244940994,1.2814018833277516,1.1643992857965635,1.0879215271304534,0.9675697465197187,1.2576454841962137,1.2576454841962137,1.3168473249698454
16.25,0.9590287932252749,0.633069947321964,0.9706705539187952,0.9706705539187952,1.2006360858682887,1.077750130687002,0.987833164906776,0.9028204323383514,1.1814454981656834,1.1814454981656834,1.229093421339745
17.5,0.8895600438332596,0.5897534462715568,0.8910652477259469,0.8910652477259469,1.125512273867106,0.9980742188904468,0.8992084900120859,0.8425786376037451,1.109973928427649,1.109973928427649,1.1484475221930535
18.75,0.8270472891254212,0.5497566732084518,0.8184957624039666,0.8184957624039666,1.0555582154848153,0.9247889708430224,0.8205333149229669,0.7865535101905855,1.0429555555316377,1.0429555555316377,1.074096364408133
20.0,0.7704312307340577,0.5127739399287304,0.7523237738615418,0.7523237738615418,0.9903466435292477,0.8573555221731254,0.7505013577890353,0.7344573247137778,0.9801122232537408,0.9801122232537408,1.0053628791194644
21.25,0.7188638619025357,0.4785358012826669,0.6919639402862819,0.6919639402862819,0.9294928764042637,0.7952776915958253,0.6879879965247104,0.6860124329975357,0.9211740386596825,0.9211740386596825,0.941675613379715
22.5,0.6716620513673968,0.4468034523573047,0.6368815134112487,0.6368815134112487,0.8726511691672807,0.7381001706842366,0.6320260879575086,0.6409551401765091,0.8658848300531261,0.8658848300531261,0.8825466390737591
23.75,0.628271425819335,0.4173641882777725,0.5865893837719888,0.5865893837719888,0.819510661284052,0.6854062368959352,0.5817842739617063,0.5990376183498969,0.8140043812229251,0.8140043812229251,0.827555199861795
25.0,0.5882383513181766,0.3900276980407502,0.5406448314822877,0.5406448314822877,0.7697913874987227,0.6368152097452777,0.5365478473085111,0.5600285836157356,0.7653089018974508,0.7653089018974508,0.7763353314884792
26.25,0.5511882402253259,0.3646230169811704,0.4986461709161011,0.4986461709161011,0.7232405806073641,0.5919798062767646,0.4957020654592503,0.5237132095158689,0.7195905745898631,0.7195905745898631,0.7285663027563385
27.5,0.5168087724849166,0.34099600230128285,0.46022941727096983,0.46022941727096983,0.6796293591898498,0.5505835034482484,0.458717711579173,0.4898925842346926,0.6766566556443692,0.6766566556443692,0.6839651083640318
28.75,0.48483691960059333,0.3190072263768833,0.4250650593234663,0.4250650593234663,0.638749819218705,0.5123379788553657,0.42513866756862656,0.45838291022917804,0.636328397142636,0.636328397142636,0.6422804887893286
30.0,0.4550489024261657,0.29853020574988154,0.3928549913549831,0.3928549913549831,0.6004125105228094,0.4769806747905516,0.3945712595904113,0.42901457368903606,0.5984399340481804,0.5984399340481804,0.6032881100375524
31.25,0.42725240778303775,0.2794499015498085,0.36332963495614873,0.36332963495614873,0.5644442618338105,0.44427251167324944,0.36667514814169877,0.40163116449745956,0.5628372108320516,0.5628372108320516,0.5667866399670902
32.5,0.4012805420379205,0.26166144083705517,0.33624526578666447,0.33624526578666447,0.5306863123341256,0.4139957635668138,0.34115555388459956,0.3760884967771337,0.5293769821887554,0.5293769821887554,0.5325945279243851
33.75,0.37698711963789816,0.24506901898955694,0.31138154957935027,0.31138154957935027,0.49899270784598476,0.38595209935275354,0.317756632480232,0.3522536601464741,0.49792590056220004,0.49792590056220004,0.5005473427673406
35.0,0.35424297778393393,0.22958495149249483,0.2885392844051675,0.2885392844051675,0.46922892294915236,0.3599607870377264,0.2962558339452449,0.3300041188510784,0.4683596915538044,0.4683596915538044,0.4704955585723142
36.25,0.3329330804732454,0.21512884989365827,0.2675383414801178,0.2675383414801178,0.441270674657255,0.33585705476919725,0.2764591031866204,0.30922686758732726,0.44056241247729383,0.44056241247729383,0.4423027021246617
37.5,0.31295423061119926,0.20162690167997563,0.24821579387371037,0.24821579387371037,0.4150028978851519,0.3134905997943072,0.2581967977122694,0.28981764752407435,0.41442578678701075,0.41442578678701075,0.41584379467983473
38.75,0.2942132514581003,0.18901123773782666,0.23042422084248176,0.23042422084248176,0.3903188573286517,0.29272423534315706,0.24132021581678154,0.2716802227142177,0.3898486063482172,0.3898486063482172,0.39100403438381354
40.0,0.27662553125627853,0.1772193741292595,0.21403017477337496,0.21403017477337496,0.3671193743386484,0.27343266490977564,0.22569864378888305,0.2547257150827936,0.3667361936829449,0.3667361936829449,0.3676776764310721
41.25,0.26011384977547974,0.16619371733820507,0.19891279759844863,0.19891279759844863,0.34531215083213174,0.2555013733943896,0.2112168439862187,0.23887199502687698,0.3449999169292214,0.3449999169292214,0.34576707637300086
42.5,0.24460742451107775,0.1558811240608635,0.1849625738300153,0.1849625738300153,0.324811175244743,0.23882562488306774,0.1977729171386776,0.2240431240636937,0.3245567510271499,0.3245567510271499,0.3251818685618743
43.75,0.23004112875742241,0.1462325081444904,0.1720802079168598,0.1720802079168598,0.30553619803174403,0.22330955735111566,0.18527648215993758,0.21016884571759545,0.3053288794494678,0.3053288794494678,0.30583825694397176
45.0,0.21635484482642606,0.1372024885047519,0.16017561433282074,0.16017561433282074,0.2874122663192767,0.20886536519838378,0.17364712525593087,0.19718412081225567,0.2872433315552897,0.2872433315552897,0.28765839960401307
46.25,0.2034929241088934,0.12874907283986423,0.14916700960480758,0.14916700960480758,0.2703693090515057,0.19541256119876202,0.16281307739669232,0.18502870344487937,0.27023165133208654,0.27023165133208654,0.2705698718365899
47.5,0.191403732109576,0.12083337276093097,0.13898009631692163,0.13898009631692163,0.2543417654249528,0.18287731013297145,0.1527100854280461,0.17364675410758468,0.2542295938926422,0.2542295938926422,0.25450519524877624
48.75,0.18003926150403493,0.11341934661171596,0.12954732995582155,0.12954732995582155,0.23926825059703094,0.17119182704749455,0.1432804473884862,0.16298648665044138,0.23917684661213018,0.23917684661213018,0.23940142261215724
50.0,0.16935480002939302,0.10647356678813644,0.12080726026674045,0.12080726026674045,0.22509125364330992,0.16029383372702152,0.1344721870941944,0.15299984602724764,0.22501677223229324,0.22501677223229324,0.22519976998385802
